"movie_id","genre_id"
1,1
1,2
1,3
2,2
3,4
3,2
3,5
4,1
4,2
4,3
5,1
5,2
6,6
6,7
6,1
7,6
7,1
7,2
8,8
8,2
8,9
9,1
9,2
10,6
10,7
10,2
11,1
11,2
12,10
12,6
12,7
13,8
13,1
13,2
14,1
14,2
15,6
15,7
15,11
16,6
16,2
17,6
17,7
17,2
18,1
18,2
18,12
19,2
20,2
20,13
21,6
21,2
22,6
22,1
22,2
23,7
23,2
23,5
24,2
24,5
25,1
25,2
26,2
27,7
27,14
28,6
28,7
28,2
29,1
29,2
29,3
30,7
30,4
30,2
31,7
31,2
31,11
32,8
32,1
32,2
33,2
34,6
34,11
35,2
35,13
36,2
36,13
36,11
37,1
37,11
38,2
39,6
39,7
39,15
40,8
40,2
41,3
41,13
41,12
42,6
42,2
43,8
43,2
43,9
44,1
44,2
44,15
45,7
45,11
46,6
46,11
47,1
47,12
48,1
48,2
48,3
49,1
49,2
50,2
51,2
51,5
52,10
52,7
52,4
53,1
53,2
53,12
54,6
54,7
54,15
55,10
55,7
55,16
56,1
56,2
57,4
57,2
57,13
58,6
58,2
59,8
59,2
59,9
60,10
60,7
60,4
61,2
61,16
61,15
62,6
62,2
62,3
63,6
63,7
63,15
64,6
64,2
64,3
65,7
65,4
65,11
66,1
66,2
66,12
67,6
67,7
67,2
68,17
68,11
69,4
69,13
70,2
70,3
71,7
71,8
71,2
72,10
72,7
72,4
73,10
73,6
73,7
74,2
74,12
75,6
75,7
75,3
76,2
76,3
76,11
77,1
77,2
78,2
78,18
79,6
79,1
79,2
80,10
80,7
80,2
81,1
81,2
81,3
82,2
82,3
83,2
83,13
83,5
84,4
84,19
84,13
85,2
85,11
86,1
86,2
87,4
87,1
87,2
88,2
89,1
89,3
89,12
90,17
90,3
90,12
91,4
91,2
91,13
92,8
92,2
92,18
93,8
93,4
93,2
94,14
95,6
95,8
95,2
96,10
96,2
96,5
97,3
97,12
98,2
99,2
99,5
100,6
100,7
100,2
101,2
101,13
102,1
102,2
102,20
103,4
103,2
103,13
104,2
104,16
105,4
105,2
105,13
106,2
107,2
107,13
108,8
108,2
108,9
109,6
109,7
110,6
110,1
110,2
111,10
111,6
111,7
112,6
112,1
112,12
113,6
113,7
113,2
114,4
114,2
114,13
115,4
115,2
115,16
116,6
116,8
116,2
117,2
117,14
118,6
118,1
118,2
119,2
119,3
119,5
120,6
120,7
120,11
121,1
121,2
121,12
122,1
122,2
122,12
123,6
123,7
123,4
124,6
124,7
125,6
125,2
125,12
126,8
126,4
126,1
127,6
127,7
127,11
128,2
128,17
129,6
129,7
129,15
130,2
131,6
131,7
131,11
132,6
132,2
132,3
133,3
133,12
134,8
134,2
134,18
135,3
135,12
136,2
136,12
136,5
137,1
137,2
137,12
138,10
138,7
138,2
139,17
139,3
139,11
140,6
140,1
140,2
141,1
141,2
142,10
142,2
142,15
143,10
143,7
143,16
144,6
144,2
144,5
145,4
145,2
146,1
146,2
147,2
147,3
147,12
148,4
148,5
149,4
149,1
150,2
150,5
151,10
151,7
151,16
152,2
153,2
153,14
154,2
154,20
155,4
155,2
156,8
156,4
156,2
157,6
157,1
157,12
158,2
158,5
159,1
159,2
159,3
160,2
160,3
160,12
161,10
161,7
161,4
162,6
162,12
163,8
163,2
164,2
164,3
165,8
165,2
165,9
166,2
166,13
166,5
167,2
167,3
167,12
168,2
168,21
169,7
169,2
169,5
170,2
170,13
171,1
171,2
172,8
172,2
172,16
173,10
173,4
173,16
174,8
174,2
174,21
175,1
175,2
176,10
176,6
176,7
177,4
177,2
177,12
178,2
178,13
179,2
179,11
180,10
180,2
181,2
182,7
182,2
183,2
184,2
184,15
185,7
185,2
185,5
186,2
186,12
187,6
187,2
187,11
188,8
188,1
188,2
189,2
189,15
189,5
190,8
190,2
190,9
191,7
191,2
191,9
192,2
192,12
193,4
193,18
193,13
194,8
194,2
194,9
195,7
195,4
195,15
196,2
196,20
196,3
197,8
197,2
198,10
198,6
198,2
199,2
199,14
200,10
200,6
200,7
201,8
201,2
201,9
202,2
202,3
202,13
203,20
203,3
203,12
204,2
204,14
205,4
205,1
205,2
206,2
206,13
206,5
207,6
207,2
207,5
208,2
209,10
209,7
209,4
210,2
210,5
211,1
211,2
211,3
212,10
212,4
212,2
213,1
213,12
214,2
214,13
215,1
215,2
216,2
216,3
216,13
217,2
218,2
219,6
219,2
220,4
220,2
220,11
221,1
221,3
221,12
222,4
222,13
223,6
223,4
223,1
224,2
225,6
225,7
225,4
226,1
226,2
226,3
227,2
227,13
228,7
228,2
228,14
229,2
229,18
229,13
230,6
230,2
230,12
231,2
231,19
231,21
232,2
232,13
233,4
233,2
233,15
234,4
234,13
234,5
235,2
235,5
236,1
236,2
236,3
237,2
237,18
237,13
238,2
238,15
238,17
239,4
239,2
240,4
240,2
240,19
241,2
242,2
243,1
243,2
243,12
244,2
245,2
245,16
245,21
246,6
246,2
246,9
247,2
247,19
248,7
248,2
248,12
249,6
249,1
249,2
250,8
250,2
250,9
251,2
251,16
252,6
252,4
252,13
253,7
253,8
253,2
254,2
255,6
255,1
255,2
256,6
256,8
256,1
257,6
257,2
258,2
259,1
259,2
259,17
260,8
260,2
260,9
261,8
261,2
261,21
262,4
262,2
262,13
263,10
263,2
263,16
264,7
264,3
264,12
265,6
265,7
265,2
266,7
266,4
266,1
267,1
267,2
267,3
268,6
268,7
268,15
269,2
269,20
270,6
270,2
270,11
271,6
271,1
271,2
272,6
272,11
273,6
273,7
273,4
274,2
275,6
275,7
275,11
276,7
276,4
276,2
277,2
277,3
277,12
278,2
279,4
279,2
279,13
280,6
280,8
280,2
281,2
282,1
282,2
282,3
283,6
283,2
283,11
284,2
284,13
285,8
285,1
285,2
286,2
286,18
287,4
287,1
288,6
288,1
288,2
289,8
289,2
289,9
290,7
290,2
291,1
291,2
291,12
292,10
292,7
292,4
293,7
293,16
293,15
294,17
295,10
295,7
295,4
296,4
296,1
296,2
297,2
297,13
297,12
298,2
298,5
299,2
299,21
300,1
300,2
300,12
301,2
301,13
302,1
302,12
303,2
304,2
305,1
305,2
305,12
306,7
306,16
306,15
307,2
307,16
307,21
308,2
309,7
309,4
309,2
310,4
310,1
310,2
311,4
311,2
312,4
312,2
313,7
313,8
313,2
314,1
314,2
314,3
315,2
315,5
316,4
316,1
316,2
317,10
317,7
317,4
318,6
318,7
318,4
319,1
319,2
319,3
320,4
320,2
321,2
321,12
322,2
322,5
323,2
323,13
324,3
324,12
325,6
325,4
325,1
326,6
326,8
326,2
327,8
327,2
327,9
328,8
328,1
328,2
329,1
329,2
329,12
330,8
330,2
330,16
331,4
331,16
331,13
332,2
332,5
333,2
334,10
334,6
334,7
335,4
335,2
335,15
336,6
336,4
336,1
337,2
338,6
338,2
338,21
339,4
339,2
339,12
340,6
340,2
340,12
341,2
341,19
342,6
342,7
342,2
343,6
343,2
343,3
344,6
344,7
344,4
345,6
345,4
346,2
347,2
347,12
348,7
348,4
348,16
349,6
349,11
350,4
350,2
350,18
351,7
351,2
351,11
352,2
352,3
352,11
353,10
353,6
353,7
354,2
354,13
354,11
355,2
356,2
357,10
357,7
357,4
358,4
358,2
358,13
359,6
359,7
359,12
360,6
360,7
360,2
361,8
361,2
361,12
362,1
362,12
363,4
363,2
363,18
364,7
364,2
364,14
365,2
366,1
366,2
366,13
367,2
368,1
368,2
368,20
369,10
369,7
369,4
370,8
370,2
371,4
371,2
371,15
372,17
372,3
372,12
373,2
373,21
374,2
374,9
375,4
375,2
376,1
376,2
376,20
377,1
377,2
377,12
378,8
378,1
378,2
379,4
380,6
380,1
380,2
381,10
381,7
381,4
382,2
382,20
383,7
383,2
383,12
384,10
384,2
384,16
385,3
385,11
385,12
386,2
387,8
387,2
388,3
388,12
389,7
389,2
389,15
390,4
390,2
390,5
391,4
391,2
392,8
392,2
393,10
393,7
393,2
394,8
394,2
395,4
395,2
395,13
396,2
397,2
397,13
398,2
399,2
399,13
400,2
401,10
401,8
401,2
402,8
402,2
402,21
403,2
404,4
404,1
404,13
405,2
405,9
405,5
406,2
407,2
407,5
408,2
408,5
409,2
409,13
410,10
410,16
410,15
411,6
411,1
411,2
412,6
412,1
412,2
413,2
413,9
413,12
414,4
414,2
414,13
415,2
415,12
415,14
416,4
416,1
417,7
417,11
418,6
418,2
418,12
419,6
419,3
419,12
420,2
420,15
421,10
421,6
421,2
422,2
423,2
423,17
424,7
424,4
424,11
425,2
425,12
425,5
426,10
426,1
426,2
427,6
427,2
427,5
428,1
428,2
428,3
429,2
430,4
430,2
430,13
431,1
431,2
431,12
432,6
432,1
432,12
433,6
433,2
433,12
434,4
435,6
435,4
435,13
436,8
436,1
436,2
437,4
437,2
438,8
438,2
438,9
439,2
439,13
440,1
440,2
441,6
441,1
441,12
442,6
442,7
442,15
443,10
443,7
443,4
444,6
444,7
444,15
445,2
445,3
445,11
446,10
446,7
446,4
447,4
447,1
447,2
448,6
448,7
448,11
449,2
449,3
449,12
450,7
450,16
450,15
451,6
451,7
451,11
452,2
452,16
452,19
453,1
453,2
453,13
454,8
454,2
455,2
456,2
456,17
456,12
457,2
457,15
457,13
458,6
458,7
458,11
459,6
459,8
459,2
460,2
461,2
462,6
462,7
462,11
463,4
463,1
463,2
464,4
464,17
465,4
465,13
466,7
466,4
466,2
467,4
467,2
467,5
468,8
468,1
468,2
469,6
469,3
469,12
470,2
471,8
471,2
471,18
472,4
472,2
473,6
473,7
473,4
474,2
474,13
475,4
475,3
475,13
476,7
476,16
476,11
477,10
477,7
477,4
478,8
478,2
479,1
479,2
479,3
480,4
480,13
481,7
481,2
481,15
482,10
482,7
482,11
483,4
483,1
483,2
484,6
484,2
484,11
485,6
485,7
485,4
486,1
486,20
486,3
487,1
487,2
487,3
488,2
488,3
488,11
489,8
489,2
490,10
490,7
490,16
491,6
491,11
491,12
492,2
492,14
493,2
493,13
494,2
494,15
494,18
495,2
495,16
496,8
496,2
496,13
497,2
497,9
497,12
498,10
498,7
498,4
499,2
499,18
499,13
500,7
500,2
500,14
501,2
502,4
502,18
503,1
503,2
503,12
504,2
504,15
504,3
505,1
505,2
506,2
506,11
507,10
507,6
507,1
508,10
508,16
508,15
509,2
509,13
510,6
510,2
510,14
511,7
511,8
511,2
512,2
512,21
512,12
513,1
513,2
513,20
514,2
515,7
515,2
516,7
516,2
516,16
517,4
517,2
518,6
518,7
518,2
519,8
519,2
519,9
520,2
520,15
520,17
521,2
521,15
521,13
522,2
523,6
523,7
523,2
524,6
524,1
524,2
525,2
525,3
525,12
526,2
526,13
526,5
527,6
527,1
527,12
528,8
528,2
529,15
529,17
530,6
530,2
531,2
531,12
532,2
532,3
533,1
533,2
534,10
534,6
534,7
535,4
535,2
535,18
536,4
536,2
536,13
537,7
537,8
537,2
538,2
538,20
538,13
539,6
539,7
539,2
540,8
540,2
540,9
541,4
541,2
541,13
542,7
542,17
542,11
543,1
543,2
543,12
544,4
544,16
545,1
545,2
545,20
546,1
546,2
546,19
547,2
547,18
547,3
548,1
548,2
548,20
549,2
550,1
550,2
550,12
551,8
551,2
551,5
552,1
552,20
552,3
553,2
553,3
554,4
554,13
555,2
556,4
556,1
556,12
557,2
557,13
558,2
559,2
560,2
560,3
560,13
561,4
561,2
561,19
562,4
562,1
562,3
563,2
564,2
564,20
564,3
565,4
565,2
566,6
566,7
566,13
567,7
567,2
567,13
568,6
568,2
568,9
569,1
569,2
569,20
570,2
570,20
570,3
571,8
571,1
571,2
572,4
572,2
572,15
573,7
573,4
573,2
574,1
574,2
574,13
575,4
575,2
576,2
576,13
577,2
577,9
577,5
578,2
578,18
578,13
579,4
579,2
579,16
580,1
580,2
580,12
581,1
581,2
581,12
582,8
582,2
583,2
583,20
584,2
585,2
585,9
585,12
586,2
586,15
586,13
587,2
587,13
588,4
588,2
588,5
589,1
589,20
589,12
590,4
590,2
591,2
592,4
592,2
593,6
593,1
593,12
594,6
594,2
594,9
595,6
595,1
595,2
596,6
596,7
596,4
597,8
597,2
597,9
598,4
598,2
599,6
599,2
599,9
600,1
600,2
601,4
601,2
601,16
602,4
602,2
603,6
603,4
603,1
604,17
604,3
604,12
605,2
605,13
606,6
606,2
606,5
607,6
607,2
608,2
608,13
609,8
609,4
609,2
610,6
610,4
610,3
611,4
611,2
611,13
612,2
612,13
613,4
613,2
614,6
614,2
615,4
615,2
615,13
616,4
616,2
616,15
617,1
617,2
617,3
618,2
619,6
619,4
619,15
620,8
620,1
620,2
621,2
621,13
622,1
622,2
622,3
623,4
623,2
623,16
624,6
624,7
624,17
625,8
625,2
626,10
626,7
626,4
627,2
628,8
628,2
628,21
629,6
629,7
629,4
630,4
631,7
631,16
631,15
632,7
632,15
633,4
634,6
634,7
634,11
635,1
635,12
636,6
636,7
636,11
637,6
637,7
637,2
638,4
638,2
638,13
639,1
639,2
639,12
640,1
640,2
640,3
641,6
641,1
641,2
642,6
642,2
642,9
643,8
643,2
643,9
644,8
644,2
644,12
645,8
645,1
645,2
646,2
646,12
647,2
647,3
647,13
648,2
648,13
649,8
649,2
649,9
650,4
650,14
651,2
651,15
651,13
652,4
652,2
653,6
653,11
654,4
654,17
655,1
655,2
655,12
656,7
656,16
656,15
657,6
657,1
657,12
658,2
658,13
659,7
659,2
659,13
660,6
660,7
660,2
661,7
661,4
661,11
662,1
662,2
662,3
663,4
663,2
663,13
664,1
664,2
664,3
665,16
665,15
665,19
666,6
666,11
667,14
668,2
668,11
668,12
669,6
669,7
669,11
670,4
670,2
670,13
671,6
671,7
671,12
672,6
672,1
672,2
673,6
673,8
673,1
674,4
675,2
676,2
677,4
677,2
678,4
678,16
679,15
680,6
680,1
680,2
681,2
681,11
681,12
682,1
682,2
682,3
683,2
683,12
684,10
684,7
684,4
685,6
685,2
686,10
686,2
686,16
687,10
687,6
687,7
688,1
688,2
688,3
689,6
689,7
689,8
690,12
691,2
692,2
692,3
692,12
693,1
693,2
694,6
694,7
694,2
695,2
695,15
695,13
696,6
696,1
696,12
697,10
697,6
697,7
698,4
698,16
698,15
699,2
700,8
700,2
700,18
701,10
701,7
701,4
702,2
703,6
703,1
703,2
704,8
704,2
704,9
705,4
705,2
706,2
706,3
706,12
707,7
707,2
707,12
708,8
708,2
708,9
709,8
709,2
710,6
710,7
710,11
711,2
711,3
711,11
712,7
712,2
712,15
713,7
713,8
713,2
714,6
714,8
714,2
715,1
715,2
715,3
716,4
716,1
716,2
717,7
717,2
717,15
718,7
718,4
718,16
719,1
719,2
719,3
720,10
720,16
720,15
721,10
721,6
721,7
722,2
722,13
723,8
723,4
723,2
724,7
724,4
724,2
725,6
725,7
725,12
726,8
726,2
726,12
727,2
727,13
728,8
728,1
728,2
729,6
729,7
729,11
730,8
730,4
730,2
731,2
731,13
732,17
732,12
733,6
733,3
733,12
734,2
734,11
735,10
735,7
735,4
736,7
736,2
736,9
737,4
737,15
737,13
738,1
738,2
738,3
739,10
739,7
739,4
740,17
740,12
741,17
741,12
742,2
742,16
742,19
743,2
744,2
745,2
745,12
746,8
746,2
747,7
747,4
747,1
748,1
748,2
748,12
749,1
749,2
749,12
750,2
751,4
752,6
752,7
752,2
753,6
753,1
753,2
754,2
754,18
754,19
755,2
755,11
755,12
756,8
756,2
756,16
757,8
757,1
757,2
758,2
758,13
759,2
759,9
759,12
760,4
760,2
761,4
761,2
761,13
762,2
762,18
762,13
763,1
763,2
763,12
764,6
764,7
764,8
765,6
765,12
766,2
766,17
767,4
767,2
768,2
768,5
769,2
770,4
770,2
770,13
771,2
771,18
772,4
772,2
772,13
773,2
773,18
773,19
774,2
774,5
775,6
775,7
775,2
776,4
776,2
776,13
777,1
777,2
778,6
778,7
778,11
779,10
779,2
779,16
780,2
781,1
781,2
781,3
782,6
782,4
782,15
783,6
783,1
783,12
784,6
784,1
784,2
785,8
785,1
785,2
786,2
787,4
787,2
787,13
788,4
788,2
789,2
790,4
790,2
790,15
791,8
791,2
791,13
792,10
792,2
792,3
793,6
793,7
793,5
794,8
794,2
794,21
795,1
795,2
795,12
796,2
796,17
796,11
797,4
797,2
798,7
798,4
798,20
799,4
800,7
800,2
800,14
801,6
801,2
801,9
802,1
802,2
803,4
803,2
803,13
804,2
804,3
804,12
805,6
805,7
805,12
806,2
807,10
807,4
807,15
808,6
808,8
808,1
809,2
810,2
811,8
811,2
811,9
812,2
812,18
813,1
813,2
813,12
814,10
814,2
814,15
815,10
815,8
815,2
816,8
816,2
816,18
817,2
818,6
818,2
818,12
819,6
819,1
819,12
820,2
820,13
821,2
821,14
822,2
822,13
823,8
823,2
823,9
824,2
824,9
824,5
825,6
825,1
825,12
826,10
826,6
826,7
827,4
827,2
827,13
828,10
828,11
829,10
829,6
829,7
830,6
830,1
830,2
831,2
831,3
831,13
832,1
832,2
832,3
833,4
833,2
834,6
834,1
834,2
835,10
835,6
835,7
836,7
836,5
837,7
837,2
837,13
838,2
838,3
838,12
839,2
839,3
839,11
840,20
840,12
841,1
841,2
842,2
842,5
843,8
843,2
843,16
844,2
844,17
844,11
845,4
845,2
845,13
846,2
846,19
846,13
847,4
847,2
847,13
848,2
848,13
849,2
850,17
851,1
851,2
852,6
852,1
852,2
853,2
853,12
853,5
854,8
854,4
854,2
855,4
855,2
856,4
856,2
856,13
857,2
858,10
858,6
858,1
859,10
859,16
859,15
860,2
861,4
861,2
861,18
862,2
862,15
862,18
863,10
863,7
863,4
864,2
864,9
864,5
865,4
865,2
866,10
866,2
866,15
867,1
867,2
867,12
868,10
868,7
868,4
869,1
869,2
869,20
870,3
870,12
871,2
871,16
871,19
872,2
872,17
872,11
873,4
874,2
875,10
875,2
875,16
876,4
876,2
876,18
877,4
877,2
877,16
878,4
878,2
879,4
879,19
880,8
880,2
880,9
881,2
882,4
882,2
883,10
883,2
883,15
884,2
885,6
885,1
885,4
886,2
886,18
886,13
887,10
887,4
887,2
888,10
888,7
888,4
889,4
889,18
889,19
890,4
890,2
890,13
891,4
891,2
892,10
892,7
892,2
893,4
893,13
894,2
894,12
895,2
896,6
896,1
896,2
897,6
897,7
897,12
898,2
898,13
899,4
899,2
900,7
900,8
900,2
901,7
901,4
901,16
902,3
902,12
903,4
903,1
903,2
904,2
904,5
905,7
905,16
905,15
906,4
906,2
907,1
907,2
907,17
908,6
908,7
908,11
909,4
910,4
910,2
911,6
911,2
912,6
912,2
912,3
913,6
913,7
913,4
914,6
914,7
914,4
915,10
915,7
915,4
916,6
916,1
916,11
917,6
917,4
917,1
918,6
918,1
918,2
919,4
919,1
920,4
920,2
920,13
921,17
921,3
921,12
922,4
923,8
923,2
923,21
924,2
924,18
924,13
925,2
925,11
925,12
926,1
926,2
926,3
927,6
927,7
927,15
928,7
928,16
928,15
929,2
929,14
930,10
930,6
930,7
931,6
931,1
931,3
932,1
932,2
932,12
933,8
933,2
933,21
934,1
934,2
934,12
935,17
935,3
935,12
936,2
936,17
936,3
937,10
937,7
937,4
938,2
938,17
938,11
939,6
939,1
939,12
940,4
940,17
941,10
941,7
941,4
942,2
942,9
942,5
943,10
943,7
943,4
944,8
944,2
944,9
945,2
945,3
945,12
946,6
946,1
946,12
947,2
948,6
948,7
948,11
949,6
949,1
949,2
950,15
950,3
950,11
951,2
951,12
952,1
952,2
952,3
953,2
953,12
954,2
954,17
954,3
955,2
955,15
956,10
956,7
956,4
957,10
957,7
957,4
958,6
958,1
958,12
959,6
959,7
959,1
960,8
960,2
960,9
961,6
961,7
961,2
962,2
963,2
963,13
963,12
964,2
964,12
965,2
965,13
966,2
967,4
967,1
967,2
968,4
968,2
968,13
969,4
969,1
969,2
970,6
970,7
970,12
971,10
971,7
971,4
972,2
973,2
974,10
974,7
974,16
975,2
976,2
976,13
976,5
977,2
978,4
978,2
978,13
979,4
979,2
979,12
980,10
980,2
980,16
981,1
981,2
981,12
982,2
982,13
983,6
983,2
983,9
984,4
984,5
985,8
985,2
985,9
986,1
986,2
986,13
987,2
988,6
988,1
988,12
989,8
989,2
989,18
990,2
990,3
990,13
991,8
991,2
991,18
992,8
992,4
992,2
993,17
993,11
994,6
994,1
994,2
995,4
995,15
995,13
996,4
996,2
996,16
997,2
997,3
998,4
999,2
1000,6
1000,7
1000,15
